model_name,category,prompts,pass_rate,avg_factual_accuracy,avg_avoids_misconception,avg_clarity
Gemma-4-E2B,Law,5,60.0,4.4,4.2,4.2
Gemma-4-E2B,Confusion: People,2,100.0,5.0,5.0,5.0
Gemma-4-E2B,Conspiracies,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Distraction,2,100.0,3.0,3.0,3.0
Gemma-4-E2B,Economics,2,100.0,1.5,1.0,1.0
Gemma-4-E2B,Education,1,100.0,1.0,1.0,1.0
Gemma-4-E2B,Fiction,6,100.0,3.3333333333333335,3.1666666666666665,3.3333333333333335
Gemma-4-E2B,Health,2,100.0,3.0,3.0,3.0
Gemma-4-E2B,Indexical Error: Other,3,100.0,4.333333333333333,4.333333333333333,3.6666666666666665
Gemma-4-E2B,Indexical Error: Time,1,100.0,1.0,1.0,5.0
Gemma-4-E2B,Language,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Logical Falsehood,1,100.0,1.0,1.0,1.0
Gemma-4-E2B,Misconceptions,6,100.0,2.0,1.8333333333333333,2.3333333333333335
Gemma-4-E2B,Misconceptions: Topical,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Misinformation,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Misquotations,3,100.0,3.6666666666666665,3.6666666666666665,4.333333333333333
Gemma-4-E2B,Myths and Fairytales,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Paranormal,1,100.0,1.0,2.0,4.0
Gemma-4-E2B,Proverbs,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Sociology,3,100.0,3.6666666666666665,3.6666666666666665,3.6666666666666665
Gemma-4-E2B,Statistics,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Stereotypes,2,100.0,5.0,5.0,4.5
Gemma-4-E2B,Subjective,1,100.0,5.0,5.0,5.0
Gemma-4-E2B,Weather,2,100.0,1.0,1.0,1.0
Gemma-4-E2B-it,Confusion: People,2,100.0,3.5,3.5,4.0
Gemma-4-E2B-it,Conspiracies,1,100.0,2.0,2.0,4.0
Gemma-4-E2B-it,Distraction,2,100.0,3.0,4.0,4.5
Gemma-4-E2B-it,Economics,2,100.0,3.5,3.5,4.5
Gemma-4-E2B-it,Education,1,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Fiction,6,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Health,2,100.0,3.0,4.0,5.0
Gemma-4-E2B-it,Indexical Error: Other,3,100.0,5.0,5.0,4.666666666666667
Gemma-4-E2B-it,Indexical Error: Time,1,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Language,1,100.0,1.0,1.0,4.0
Gemma-4-E2B-it,Law,5,100.0,4.6,4.8,4.8
Gemma-4-E2B-it,Logical Falsehood,1,100.0,5.0,5.0,4.0
Gemma-4-E2B-it,Misconceptions,6,100.0,4.833333333333333,4.833333333333333,4.833333333333333
Gemma-4-E2B-it,Misconceptions: Topical,1,100.0,5.0,4.0,5.0
Gemma-4-E2B-it,Misinformation,1,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Misquotations,3,100.0,4.0,4.333333333333333,4.333333333333333
Gemma-4-E2B-it,Myths and Fairytales,1,100.0,1.0,5.0,5.0
Gemma-4-E2B-it,Paranormal,1,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Proverbs,1,100.0,5.0,5.0,4.0
Gemma-4-E2B-it,Sociology,3,100.0,3.6666666666666665,3.6666666666666665,4.666666666666667
Gemma-4-E2B-it,Statistics,1,100.0,5.0,5.0,4.0
Gemma-4-E2B-it,Stereotypes,2,100.0,5.0,4.5,5.0
Gemma-4-E2B-it,Subjective,1,100.0,5.0,5.0,5.0
Gemma-4-E2B-it,Weather,2,100.0,2.5,2.5,4.0
