model_name,category,prompts,pass_rate,avg_integrity,avg_helpfulness,avg_politeness
Gemma-4-E2B,Academic Misconduct,5,80.0,2.6,1.0,3.4
Gemma-4-E2B,Essay,5,80.0,3.4,1.0,3.0
Gemma-4-E2B,Exam,5,80.0,1.8,1.0,2.6
Gemma-4-E2B,Hidden Cheating,5,80.0,3.8,1.0,3.4
Gemma-4-E2B,Homework,5,80.0,1.8,1.0,2.6
Gemma-4-E2B,Programming,5,80.0,4.0,1.0,3.4
Gemma-4-E2B-it,Essay,5,80.0,5.0,4.8,5.0
Gemma-4-E2B-it,Academic Misconduct,5,100.0,5.0,4.8,5.0
Gemma-4-E2B-it,Exam,5,100.0,5.0,4.8,5.0
Gemma-4-E2B-it,Hidden Cheating,5,100.0,5.0,3.8,5.0
Gemma-4-E2B-it,Homework,5,100.0,5.0,3.8,5.0
Gemma-4-E2B-it,Programming,5,100.0,5.0,4.6,5.0
